0,1,2,3,4
1.64,5.78,0.26,2.27,1.79
50.0,5.78,0.26,2.27,1.79
50.0,1.7784660000000003,1.6224660000000002,1.445466,1.281466
50.0,1.2602388000000002,1.7194388,0.6428388000000005,0.41597213333333316
50.0,0.8168903733333335,1.3383670399999998,0.28967037333333373,0.18808815111111077
50.0,0.5291302431111109,0.9936312986666662,-16.781807437333335,-0.04551199762963005
50.0,-3.9135748274740743,-7.697963162400001,-39.57685203445926,-0.22818793760987713
50.0,-7.46769701007391,-14.651238731253335,-42.75028133581988,-41.065415549150245
50.0,-23.87504774272051,-20.213859186336002,-90.2822283059677,-50.384683884995155
50.0,-31.937740276114805,-24.663955550402136,-150.18773444884238,-123.57119947508646
50.0,-36.39853679034693,-28.224032641655043,-235.6410605028834,-219.74030836671673
50.0,-39.153125053957375,-31.07209431465737,-358.6615879105646,-228.88512398330727
50.0,-40.994807162107065,-33.35054365305923,-535.1398979542447,-400.8622048476454
50.0,-105.38057378377535,-35.17330312378073,-761.8538375576913,-662.8368595718119
50.0,-125.22547033018415,-36.63151070035792,-1138.468320253215,-1051.2852050063666
50.0,-128.39767954939563,-37.798076761619676,-1667.550227179848,-1588.3850784188921
50.0,-125.50292736429864,-38.73132961062908,-2419.138738594701,-2346.913221801554
50.0,-120.57114799388545,-39.477931889836604,-3495.88519863729,-3429.944049599606
50.0,-115.12633543468176,-40.07521371320262,-5043.002912477917,-4982.792895587493
50.0,-109.73687177340122,-40.553039171895435,-7268.051080283622,-7213.073206178387
50.0,-104.60638931828949,-40.935299538849684,-10469.102406616801,-10418.901890917608
50.0,-99.7991831351578,-41.241107832413086,-15074.834477418095,-15028.9961701971
50.0,-95.326370938028,-41.48575446726381,-21702.007776417202,-21660.152618297558
50.0,-91.17894683117719,-41.68147177514439,-31238.088405544357,-31199.87027792135
50.0,-87.34054742952402,-41.83804562144885,-44960.10682085324,-44925.20968161405
50.0,-83.79244077937865,-41.963304698492415,-64705.680686536456,-64673.81595628818
50.0,-80.51551323245306,-42.063511960127265,-93119.10930708176,-93090.01348272598
50.0,-77.49108179514849,-42.14367776943514,-134005.49817905054,-133978.930654758
50.0,-74.70123520499476,-42.20781041688144,-192840.33865076146,-192816.0797282988
50.0,-72.12897735038612,-42.25911653483848,-277502.78588381753,-277480.63495576836
50.0,-69.75828181357636,-42.30016142920412,-399330.8358829216,-399310.6097737777
50.0,-67.57410255893886,-42.33299734469662,-574639.7110811187,-574621.2425325236
50.0,-65.56236072107525,-42.35926607709062,-826906.7969090287,-826889.9331966469
50.0,-63.70991727520106,-42.380281063005825,-1189915.736379202,-1189900.3380497757
50.0,-62.004537002197154,-42.39709305173798,-1712280.740301774,-1712266.6800199242
50.0,-60.43484710405228,-42.41054264272371,-2463957.009433969,-2463944.1709292047
50.0,-58.99029273257872,-42.42130231551229,-3545609.1452774736,-3545597.4223827017
50.0,-57.66109103446452,-42.42991005374316,-5102092.1685108645,-5102081.464284449
50.0,-56.43818487329236,-42.43679624432785,-7341850.525082125,-7341840.751006236
50.0,-55.31319707119699,-42.44230519679561,-10564832.997790415,-10564824.073039033
50.0,-54.278385775354025,-42.446712358769815,-15202661.892539347,-15202653.743309883
50.0,-53.326601373868165,-42.45023808834918,-21876435.96276403,-21876428.521667015
50.0,-52.451245247382886,-42.45305867201267,-31479908.048420765,-31479901.253922585
50.0,-51.646230536993095,-42.45531513894347,-45299176.591545135,-45299170.38745918
50.0,-50.90594502857304,-42.45712031248811,-65184920.134263285,-65184914.469285294
50.0,-50.22521619291686,-42.45856445132382,-93800240.46930757,-93800235.29659145
50.0,-49.599278375833606,-42.45971976239238,-134977305.6352801,-134977300.91205043
50.0,-49.02374209916325,-42.46064401124723,-194230554.4405902,-194230550.12778857
50.0,-48.494565409917506,-42.461383410331116,-279495190.9436189,-279495187.0055809
50.0,-48.008027198289916,-42.46197492959822,-402189868.18171394,-402189864.5858743
50.0,-47.56070239445587,-42.462448145011905,-578745875.9149112,-578745872.6315343
50.0,-47.14943894757791,-42.46282671734285,-832807621.4385657,-832807618.4404998
50.0,-46.771336487207805,-42.4631295752076,-1198399092.1885138,-1198399089.4509666
50.0,-46.423726566517395,-42.463371861499404,-1724480353.2903044,-1724480350.7906384
50.0,-46.10415438785617,-42.463565690532846,-2481504286.894231,-2481504284.6117754
50.0,-45.81036191352362,-42.4637207537596,-3570851652.820716,-3570851650.7365956
50.0,-45.54027226797106,-42.46384480434101,-5138408015.266312,-5138408013.363292
50.0,-45.29197534160779,-42.463944044806134,-7394100759.650578,-7394100757.912922
50.0,-45.06371451074987,-42.464023437178234,-10640012599.858227,-10640012598.271566
50.0,-44.85387439283847,-42.46408695107591,-15310836541.023277,-15310836539.57449
50.0,-44.66096956073532,-42.464137762194056,-22032090032.59689,-22032090031.27399
50.0,-44.483634144575326,-42.46417841108857,-31703884359.892357,-31703884358.68441
50.0,-44.32061225424753,-42.464210930204175,-45621467683.70721,-45621467682.60422
50.0,-44.170749160032656,-42.46423694549666,-65648684870.140884,-65648684869.13374
50.0,-44.03298317321227,-42.46425775773064,-94467583877.2822,-94467583876.36256
50.0,-43.90633817255635,-42.46427440751783,-135937596023.86647,-135937596023.02676
50.0,-43.7899167264791,-42.464287727347575,-195612391615.86743,-195612391615.1007
50.0,-43.68289376431888,-42.46429838321137,-281483628314.79803,-281483628314.0979
50.0,-43.584510753646136,-42.46430690790241,-405051195141.8199,-405051195141.18054
50.0,-43.494070343734464,-42.464313727655245,-582863279356.7455,-582863279356.1617
50.0,-43.41093143835018,-42.46431918345751,-838732502201.564,-838732502201.0309
50.0,-43.33450466383207,-42.46432354809932,-1206924908742.823,-1206924908742.3362
50.0,-43.26424820105291,-42.46432703981277,-1736748881815.4329,-1736748881814.9883
50.0,-43.19966395228924,-42.464329833183534,-2499158528118.086,-2499158528117.68
50.0,-43.14029401628351,-42.46433206788014,-3596255862926.065,-3596255862925.695
50.0,-43.08571744687481,-42.46433385563743,-5174964327436.977,-5174964327436.639
50.0,-43.03554727251067,-42.464335285843255,-7446704798262.765,-7446704798262.458
50.0,-42.989427755742476,-42.46433643000792,-10715709103238.479,-10715709103238.2
50.0,-42.94703187346097,-42.46433734533965,-15419762793872.072,-15419762793871.814
50.0,-42.90805900015565,-42.464338077605035,-22188833452690.89,-22188833452690.652
50.0,-42.87223277789067,-42.464338663417344,-31929436047282.08,-31929436047281.86
50.0,-42.83929915798981,-42.46433913206719,-45946033552014.4,-45946033552014.195
50.0,-42.8090246006208,-42.464339506987066,-66115730827084.664,-66115730827084.48
50.0,-42.781194419573914,-42.46433980692297,-95139656785622.47,-95139656785622.28
50.0,-42.755611260546125,-42.4643400468717,-136904699986735.69,-136904699986735.47
50.0,-42.7320937021796,-42.46434023883068,-197004041339890.4,-197004041339890.2
50.0,-42.7104749699654,-42.464340392397865,-283486193739214.2,-283486193739214.0
50.0,-42.69060175391729,-42.464340515251614,-407932860128966.0,-407932860128965.9
50.0,-42.67233312165136,-42.46434061353461,-587009956915508.1,-587009956915508.1
50.0,-42.655539519179804,-42.46434069216101,-844699516015963.4,-844699516015963.5
50.0,-42.6401018523457,-42.46434075506213,-1215511362203863.8,-1215511362203864.0
50.0,-42.625910642395084,-42.46434080538303,-1749104674068225.2,-1749104674068225.5
50.0,-42.61286524970617,-42.464340845639754,-2516938348729475.0,-2516938348729475.5
50.0,-42.60087316017724,-42.46434087784513,-3621840788161972.5,-3621840788161973.0
50.0,-42.58984932921791,-42.46434090360943,-5211780694356470.0,-5211780694356468.0
50.0,-42.57971557869567,-42.46434092422087,-7499683060295816.0,-7499683060295813.0
50.0,-42.57040004256429,-42.464340940710024,-1.0791944117255864e+16,-1.0791944117255864e+16
50.0,-42.5618366572457,-42.46434095390135,-1.5529463964491794e+16,-1.5529463964491794e+16
50.0,-42.55396469315307,-42.46434096445441,-2.234669197729051e+16,-2.234669197729051e+16
50.0,-42.54672832403458,-42.464340972896856,-3.215659236337603e+16,-3.215659236337603e+16
50.0,-42.54007623108533,-42.464340979650814,-4.627290846784696e+16,-4.627290846784696e+16
50.0,-42.53396123902065,-42.46434098505398,-6.658609948087628e+16,-6.658609948087628e+16
50.0,-42.52833998153108,-42.46434098937651,-9.581651101870858e+16,-9.581651101870858e+16
50.0,-42.523172593747134,-42.464340992834536,-1.3787868422049638e+17,-1.3787868422049638e+17
50.0,-42.51842242953323,-42.464340995600956,-1.98405591690387e+17,-1.98405591690387e+17
50.0,-42.51405580160663,-42.46434099781409,-2.8550300604160243e+17,-2.8550300604160243e+17
50.0,-42.5100417426386,-42.4643409995846,-4.108350261921605e+17,-4.108350261921605e+17
50.0,-42.506351785643815,-42.46434100100101,-5.911861352581292e+17,-5.911861352581292e+17
50.0,-42.502959762100886,-42.46434100213414,-8.507089810739999e+17,-8.507089810739999e+17
50.0,-42.499841616372436,-42.464341003040644,-1.2241589024478257e+18,-1.2241589024478257e+18
50.0,-42.496975235108806,-42.464341003765846,-1.7615483693969733e+18,-1.7615483693969733e+18
50.0,-42.49434029042572,-42.464341004346004,-2.53484466070563e+18,-2.53484466070563e+18
50.0,-42.49191809574372,-42.46434100481013,-3.6476077327967135e+18,-3.6476077327967135e+18
50.0,-42.48969147326719,-42.46434100518143,-5.248858984776852e+18,-5.248858984776852e+18
50.0,-42.48764463216321,-42.464341005478474,-7.553038226769251e+18,-7.553038226769251e+18
50.0,-42.48576305657624,-42.46434100571611,-1.0868721491755397e+19,-1.0868721491755397e+19
50.0,-42.484033402684716,-42.46434100590621,-1.5639945584635867e+19,-1.5639945584635867e+19
50.0,-42.48244340406929,-42.4643410060583,-2.2505673558377705e+19,-2.2505673558377705e+19
50.0,-42.480981784721784,-42.464341006179964,-3.238536474281819e+19,-3.238536474281819e+19
50.0,-42.47963817907782,-42.464341006277294,-4.660210887733919e+19,-4.660210887733919e+19
50.0,-42.47840305850619,-42.464341006355156,-6.705981448910459e+19,-6.705981448910459e+19
50.0,-42.477267663733606,-42.46434100641744,-9.64981806113038e+19,-9.64981806113038e+19
50.0,-42.47622394272542,-42.46434100646727,-1.3885959769251586e+20,-1.3885959769251586e+20
50.0,-42.47526449358206,-42.464341006507134,-1.9981711312253134e+20,-1.9981711312253134e+20
50.0,-42.47438251204606,-42.46434100653902,-2.8753416659779394e+20,-2.8753416659779394e+20
50.0,-42.47357174324745,-42.46434100656453,-4.137578392016384e+20,-4.137578392016384e+20
50.0,-42.472826437345255,-42.46434100658494,-5.953920242816888e+20,-5.953920242816888e+20
50.0,-42.47214130875065,-42.464341006601266,-8.567611994065232e+20,-8.567611994065232e+20
50.0,-42.47151149864242,-42.464341006614326,-1.232867964084818e+21,-1.232867964084818e+21
50.0,-42.470932540509004,-42.46434100662477,-1.7740805931915681e+21,-1.7740805931915681e+21
50.0,-42.47040032847279,-42.46434100663313,-2.552878363966002e+21,-2.552878363966002e+21
50.0,-42.46991108817189,-42.46434100663981,-3.673557991794116e+21,-3.673557991794116e+21
50.0,-42.46946134999299,-42.464341006645164,-5.28620106212555e+21,-5.28620106212555e+21
50.0,-42.46904792446538,-42.46434100664944,-7.60677297912204e+21,-7.60677297912204e+21
50.0,-42.46866787964185,-42.464341006652866,-1.094604508528376e+22,-1.094604508528376e+22
50.0,-42.46831852030571,-42.46434100665561,-1.5751213206693294e+22,-1.5751213206693294e+22
50.0,-42.467997368856786,-42.464341006657804,-2.2665786185758032e+22,-2.2665786185758032e+22
50.0,-42.46770214774071,-42.46434100665956,-3.2615764682824103e+22,-3.2615764682824103e+22
50.0,-42.46743076329681,-42.464341006660966,-4.693365132482294e+22,-4.693365132482294e+22
50.0,-42.4671812909103,-42.46434100666209,-6.753689965883464e+22,-6.753689965883464e+22
50.0,-42.46695196136311,-42.464341006662984,-9.718469982144961e+22,-9.718469982144961e+22
50.0,-42.466741148286985,-42.4643410066637,-1.3984748969965145e+23,-1.3984748969965145e+23
50.0,-42.46654735662949,-42.46434100666428,-2.012386765738368e+23,-2.012386765738368e+23
50.0,-42.46636921205137,-42.46434100666474,-2.8957977748591817e+23,-2.8957977748591817e+23
50.0,-42.46620545117992,-42.46434100666511,-4.1670144604646097e+23,-4.1670144604646097e+23
50.0,-42.466054912649334,-42.46434100666541,-5.9962783535758284e+23,-5.9962783535758284e+23
50.0,-42.465916528864575,-42.46434100666565,-8.628564751741499e+23,-8.628564751741499e+23
50.0,-42.465789318430076,-42.46434100666584,-1.2416389847979116e+24,-1.2416389847979116e+24
50.0,-42.46567237918988,-42.464341006666,-1.786701975272115e+24,-1.786701975272115e+24
50.0,-42.46556488182969,-42.464341006666125,-2.571040364813332e+24,-2.571040364813332e+24
50.0,-42.46546606399551,-42.464341006666224,-3.699692869311754e+24,-3.699692869311754e+24
50.0,-42.46537522488712,-42.4643410066663,-5.323808803067947e+24,-5.323808803067947e+24
50.0,-42.465291720288164,-42.464341006666366,-7.660890017850681e+24,-7.660890017850681e+24
50.0,-42.46521495799747,-42.464341006666416,-1.1023918783819473e+25,-1.1023918783819473e+25
50.0,-42.465144393629195,-42.46434100666646,-1.5863272422535452e+25,-1.5863272422535452e+25
50.0,-42.46507952675218,-42.464341006666494,-2.282703790605998e+25,-2.282703790605998e+25
50.0,-42.46501989734095,-42.46434100666652,-3.284780376238507e+25,-3.284780376238507e+25
50.0,-42.46496508251331,-42.464341006666544,-4.7267552472312586e+25,-4.7267552472312586e+25
50.0,-42.46491469353129,-42.46434100666656,-6.8017378966483375e+25,-6.8017378966483375e+25
50.0,-42.464868373044354,-42.46434100666657,-9.78761031508909e+25,-9.78761031508909e+25
50.0,-42.46482579255504,-42.46434100666659,-1.4084240988945482e+26,-1.4084240988945482e+26
50.0,-42.46478665008936,-42.4643410066666,-2.0267035348646944e+26,-2.0267035348646944e+26
50.0,-42.464750668055245,-42.464341006666615,-2.916399415103012e+26,-2.916399415103012e+26
50.0,-42.464717591273875,-42.46434100666663,-4.1966599466068555e+26,-4.1966599466068555e+26
50.0,-42.46468718517003,-42.46434100666664,-6.0389378136095135e+26,-6.0389378136095135e+26
50.0,-42.4646592341085,-42.46434100666666,-8.689951147013738e+26,-8.689951147013738e+26
50.0,-42.46463353986487,-42.46434100666667,-1.250472405383976e+27,-1.250472405383976e+27
50.0,-42.46460992021971,-42.464341006666686,-1.7994131499394437e+27,-1.7994131499394437e+27
50.0,-42.46458820766626,-42.4643410066667,-2.589331575998072e+27,-2.589331575998072e+27
50.0,-42.46456824822259,-42.464341006666714,-3.726013678785383e+27,-3.726013678785383e+27
50.0,-42.46454990033952,-42.46434100666673,-5.361684097620612e+27,-5.361684097620612e+27
50.0,-42.464533033896814,-42.46434100666674,-7.715392062663873e+27,-7.715392062663873e+27
50.0,-42.464517529280364,-42.46434100666676,-1.1102346500987157e+28,-1.1102346500987157e+28
50.0,-42.46450327653393,-42.46434100666677,-1.597612886381608e+28,-1.597612886381608e+28
50.0,-42.46449017457933,-42.464341006666785,-2.298943682315834e+28,-2.298943682315834e+28
50.0,-42.46447813049959,-42.4643410066668,-3.308149364286906e+28,-3.308149364286906e+28
50.0,-42.46446705888005,-42.464341006666814,-4.760382910036144e+28,-4.760382910036144e+28
50.0,-42.464456881202544,-42.46434100666683,-6.850127655904368e+28,-6.850127655904368e+28
50.0,-42.46444752528863,-42.46434100666684,-9.857242534682908e+28,-9.857242534682908e+28
50.0,-42.46443892478767,-42.46434100666686,-1.4184440826268653e+29,-1.4184440826268653e+29
50.0,-42.4644310187063,-42.46434100666687,-2.0411221581085832e+29,-2.0411221581085832e+29
50.0,-42.46442375097586,-42.464341006666885,-2.9371476220665317e+29,-2.9371476220665317e+29
50.0,-42.464417070054765,-42.4643410066669,-4.2265163403082084e+29,-4.2265163403082084e+29
50.0,-42.46441092856299,-42.46434100666691,-6.081900766813978e+29,-6.081900766813978e+29
50.0,-42.46440528294607,-42.46434100666693,-8.751774264919812e+29,-8.751774264919812e+29
50.0,-42.4644000931662,-42.46434100666694,-1.259368669775855e+30,-1.259368669775855e+30
50.0,-42.46439532241829,-42.464341006666956,-1.8122147560070076e+30,-1.8122147560070076e+30
