0,1,2,3,4
1.64,5.78,0.26,2.27,1.79
50.0,5.78,0.26,2.27,1.79
50.0,2.533466,1.6224660000000002,1.9854660000000002,1.7664659999999999
50.0,1.2417388000000007,1.9894387999999998,1.8643387999999999,-13.671694533333334
50.0,0.7662570400000007,2.057117039999999,-5.902029626666667,-18.910656293333336
50.0,-3.2284417013333324,-1.8120187013333344,-9.380981034666668,-19.974414034666673
50.0,-6.499741361066667,-5.110192461066669,-12.164142161066668,-21.307045061066674
50.0,-9.180338788853332,-7.869673268853335,-14.390671062186668,-22.505185582186673
50.0,-11.381002507749333,-10.163479446749331,-16.171894183082667,-23.464561267416
50.0,-13.1923297975328,-12.068282750232797,-17.596872679799464,-24.186463492766126
50.0,-14.687761816592905,-13.652633726452898,-18.736855477172902,-24.70451986727957
50.0,-15.926609965110986,-14.97435991448398,-19.648841715071654,-25.057946104401985
50.0,-16.95671221164478,-16.081081977378687,-20.378430705390656,-25.28256014726342
50.0,-17.816648968262452,-17.011617181435984,-20.96210189764586,-25.408428676424197
50.0,-18.53755151606265,-17.797480775181374,-21.42903885145002,-25.459865216700326
50.0,-19.144563403773954,-18.464232566017564,-21.80258841449335,-25.456158467275177
50.0,-19.658016118378377,-19.032610788603517,-22.101428064928015,-25.412436701271396
50.0,-20.094373008513006,-19.51946187302043,-22.340499785275746,-25.34046677559741
50.0,-20.466986533054744,-19.938493922335585,-22.53175716155393,-25.249333213817877
50.0,-20.786705617394496,-20.30088412088199,-22.684763062576476,-25.14599521920066
50.0,-21.06236282463265,-20.6157672929181,-22.80716778339451,-25.03573602894721
50.0,-21.301165219472214,-20.890628552022676,-22.90509156004894,-24.922522395399934
50.0,-21.509008074189392,-21.131618842605086,-22.983430581372485,-24.80929084253981
50.0,-21.690726758295153,-21.34380859084289,-23.04610179843132,-24.698174945243974
50.0,-21.85029909741545,-21.531391710782017,-23.096238772078387,-24.590685379690584
50.0,-21.99100803798188,-21.69784979396671,-23.13634835099604,-24.487852270237276
50.0,-22.115572493343784,-21.846084361445765,-23.168436014130165,-24.39033749357074
50.0,-22.226252677170127,-21.978523491108003,-23.194106144637466,-24.298523076638965
50.0,-22.324934973611004,-22.097207877894544,-23.214642249043308,-24.212580593461258
50.0,-22.41320038811956,-22.203860378809903,-23.231071132567983,-24.132525476754935
50.0,-22.49237981800608,-22.299942289404278,-23.244214239387723,-24.058259368004805
50.0,-22.563598737604323,-22.386698953680362,-23.254728724843517,-23.989602995891257
50.0,-22.627813377280773,-22.465196793190263,-23.26314031320815,-23.926321566556375
50.0,-22.685840062727987,-22.536353427783705,-23.269869583899858,-23.868144244679794
50.0,-22.738379050504374,-22.600962229508482,-23.275253000453223,-23.814778981376644
50.0,-22.786033931172568,-22.6597123861084,-23.279559733695915,-23.7659236871763
50.0,-22.829327459491815,-22.713205338256955,-23.28300512029007,-23.721274542706677
50.0,-22.868714501410835,-22.761968284577975,-23.285761429565394,-23.68053207572522
50.0,-22.904592651664117,-22.8064653122136,-23.287966476985652,-23.64340550242955
50.0,-22.93731096685796,-22.847106601463782,-23.289730514921857,-23.609615726851768
50.0,-22.967177171650295,-22.884256065445538,-23.29114174527082,-23.57889730923708
50.0,-22.994463625665674,-22.91823771548745,-23.29227072954999,-23.55099964834915
50.0,-23.019412282690894,-22.949340986630876,-23.293173916973327,-23.525687570211115
50.0,-23.042238828704345,-22.9778252123887,-23.293896466911995,-23.502741474148145
50.0,-23.063136149191834,-23.003923401602506,-23.29447450686293,-23.48195715395997
50.0,-23.082277247223928,-23.027845441068276,-23.294936938823678,-23.463145385875077
50.0,-23.099817710497483,-23.049780824151398,-23.29530688439228,-23.44613135422725
50.0,-23.115897806843833,-23.0699009867484,-23.29560284084716,-23.43075396943712
50.0,-23.130644272669915,-23.088361316766985,-23.295839606011064,-23.41686511998677
50.0,-23.144171846699855,-23.105302891059452,-23.29602901814219,-23.40432888993504
50.0,-23.156584591641455,-23.12085398387496,-23.29618054784709,-23.393020765568643
50.0,-23.167977038548504,-23.135131382926197,-23.29630177161101,-23.382826848567763
50.0,-23.17843518231286,-23.148241542722133,-23.296398750622146,-23.373643088224664
50.0,-23.188037351600855,-23.16028159960072,-23.296476333831055,-23.365374541502952
50.0,-23.196854972407166,-23.171340268663744,-23.296538400398184,-23.357934666834847
50.0,-23.20495324104413,-23.18149863937774,-23.296588053651888,-23.351244655342473
50.0,-23.212391719661625,-23.19083088380551,-23.29662777625485,-23.345232801491854
50.0,-23.219224865178745,-23.199404889149033,-23.29665955433722,-23.33983391393049
50.0,-23.225502500704728,-23.20728282441574,-23.296684976803117,-23.334988766329133
50.0,-23.23127023705339,-23.214521649488105,-23.296705314775835,-23.330643587374123
50.0,-23.236569850749273,-23.221173573615545,-23.29672158515401,-23.32674958858073
50.0,-23.241439623933243,-23.227286469307252,-23.29673460145655,-23.32326252827461
50.0,-23.245914650759936,-23.23290424674295,-23.29674501449858,-23.32014230988319
50.0,-23.25002711420512,-23.238067193102133,-23.296753344932203,-23.317352612562043
50.0,-23.253806536642426,-23.24281228061448,-23.2967600092791,-23.314860552132128
50.0,-23.257280007083423,-23.247173446633134,-23.296765340756618,-23.312636370303956
50.0,-23.260472387586315,-23.25118184861072,-23.296769605938632,-23.310653150201514
50.0,-23.263406501011847,-23.254866096501175,-23.29677301808424,-23.308886556261196
50.0,-23.266103302029926,-23.25825246480751,-23.29677574780073,-23.307314596661108
50.0,-23.268582033047213,-23.2613650862368,-23.29677793157392,-23.30591740652765
50.0,-23.27086036652753,-23.264226128701843,-23.296779678592472,-23.304677050264697
50.0,-23.272954535007234,-23.266855957217484,-23.296616998314246,-23.303577341451952
50.0,-23.27479741101528,-23.26919124312759,-23.296413208408016,-23.302603678861114
50.0,-23.276431502029926,-23.27127798600234,-23.29621325729761,-23.30170187776565
50.0,-23.27790254364875,-23.273165131573585,-23.296011894939408,-23.300858069552042
50.0,-23.27923226271868,-23.27487735763062,-23.295804013148544,-23.30007692911059
50.0,-23.280432705108755,-23.276429422720586,-23.29559338712118,-23.29935967021795
50.0,-23.281516112333584,-23.27783606200979,-23.295385215664748,-23.298702480425597
50.0,-23.282495082873435,-23.27911216628836,-23.29518248348647,-23.298100678844843
50.0,-23.283380863112814,-23.280271089165534,-23.294986626280654,-23.29755030523594
50.0,-23.284183038612376,-23.281324353285683,-23.294798592082373,-23.297047803474385
50.0,-23.284909962321493,-23.282282092278344,-23.29461911488987,-23.296589668589544
50.0,-23.285569078511475,-23.283153387319718,-23.2944486648593,-23.296172451735544
50.0,-23.2861670459816,-23.283946401947425,-23.294287449108108,-23.295792859460928
50.0,-23.286709807664433,-23.28466846233712,-23.29413547758925,-23.295447796852397
50.0,-23.287202670566177,-23.28532614705263,-23.293992625346966,-23.295134368237285
50.0,-23.287650386811798,-23.28592537710875,-23.293858671329886,-23.294849871644224
50.0,-23.288061320522893,-23.28647149303176,-23.293733323972738,-23.294591795905554
50.0,-23.288435229630778,-23.28696931884114,-23.293616241911973,-23.29435986579788
50.0,-23.288775496083435,-23.287423217100617,-23.293508075836534,-23.294131160814054
50.0,-23.289078762872318,-23.28783764969428,-23.293398454716286,-23.29392154894946
50.0,-23.28934906226534,-23.28821141184904,-23.293291916696788,-23.293730713546886
50.0,-23.289591393641093,-23.28854831173681,-23.293177646370637,-23.293555733164713
50.0,-23.289804771112188,-23.288846271782454,-23.293068058738964,-23.29339544776895
50.0,-23.2899949501743,-23.289112332711998,-23.292964205548667,-23.293245463523373
50.0,-23.290154901624675,-23.28935131374354,-23.292856634686842,-23.293106217199743
50.0,-23.290294368940245,-23.28956181626392,-23.292752680927414,-23.292974507045216
50.0,-23.29041628847653,-23.289748256187487,-23.29265311137248,-23.292850061668883
50.0,-23.290523138136805,-23.289913946620263,-23.292558427652285,-23.29273316114245
50.0,-23.290617071261337,-23.290061554649245,-23.292468985163318,-23.292623901814153
50.0,-23.290699897495607,-23.290193339865063,-23.29238495756874,-23.292522206370627
50.0,-23.290773135047814,-23.290311233158217,-23.292306374496523,-23.292427878204258
50.0,-23.290838062722006,-23.290416890495234,-23.292233160288276,-23.29234063888451
50.0,-23.29089576207586,-23.290511737659134,-23.29216516407375,-23.29226015570553
50.0,-23.290947151523703,-23.290597007190694,-23.292102182878637,-23.292186062635864
50.0,-23.290993014093058,-23.29067376877333,-23.292043979376796,-23.292117976163837
50.0,-23.29103402007707,-23.2907429542816,-23.291990295439554,-23.292055507132986
50.0,-23.291070745562184,-23.290805378495637,-23.291940862380546,-23.291998269444253
50.0,-23.29110368761859,-23.290861756288244,-23.29189540860953,-23.291945886321898
50.0,-23.29113327678707,-23.290912716934763,-23.291853665261648,-23.291897994694228
50.0,-23.291159887372327,-23.29095881607084,-23.29181537025109,-23.291854248124302
50.0,-23.29118384595372,-23.291000545722728,-23.29178027110419,-23.291814318633204
50.0,-23.291205438444493,-23.291038342753854,-23.29174812685274,-23.291777897685304
50.0,-23.29122491596695,-23.29107259600654,-23.2917187092086,-23.291744696546555
50.0,-23.291242499759484,-23.291103652365216,-23.29169180319363,-23.29171444618069
50.0,-23.29125838529009,-23.291131821925433,-23.29166720736157,-23.291686896811655
50.0,-23.291272745717922,-23.291157382418888,-23.291644733718524,-23.2916618172515
50.0,-23.29128573481759,-23.29118058301721,-23.29162420742522,-23.291638994070315
50.0,-23.291297489459403,-23.29120164761503,-23.291605466345572,-23.29161823066661
50.0,-23.291308131721607,-23.291220777674944,-23.29158836049131,-23.291599346282464
50.0,-23.291317770696317,-23.291238154702313,-23.2915727514007,-23.291582174996652
50.0,-23.291326504039887,-23.29125394240604,-23.291558511480364,-23.291566564720295
50.0,-23.291334419309088,-23.29126828859191,-23.29154552333191,-23.29155237621272
50.0,-23.291341595117178,-23.291281326827153,-23.291533679079482,-23.291539482130247
50.0,-23.2913481021379,-23.291293177908514,-23.291522879710026,-23.291527766116214
50.0,-23.291354003980533,-23.291303951160813,-23.29151303443447,-23.291517121937826
50.0,-23.291359357955276,-23.291313745588802,-23.29150406007565,-23.291507452672818
50.0,-23.29136421574483,-23.291322650901467,-23.291495880486536,-23.29149866994725
50.0,-23.29136862399559,-23.291330748425047,-23.29148842600099,-23.291490693224528
50.0,-23.291372624839475,-23.291338111918595,-23.291481632917964,-23.29148344914467
50.0,-23.291376256355925,-23.291344808303943,-23.291475443019262,-23.291476870912216
50.0,-23.291379552981866,-23.29135089832016,-23.29146980312039,-23.291470897730782
50.0,-23.29138254587633,-23.291356437111357,-23.291464664653493,-23.29146547428183
50.0,-23.29138526324553,-23.291361474755274,-23.291459983281115,-23.2914605502452
50.0,-23.29138773063316,-23.29136605673937,-23.291455718539346,-23.291456079858822
50.0,-23.29138997118015,-23.291370224390008,-23.291451833508663,-23.291452021514896
50.0,-23.29139200585746,-23.291374015259855,-23.29144829451088,-23.291448337390076
50.0,-23.291393853674965,-23.29137746347785,-23.291445070830555,-23.291444993107163
50.0,-23.29139553186924,-23.291380600065636,-23.29144213445905,-23.291441957425842
50.0,-23.291397056072462,-23.29138345322385,-23.29143945985987,-23.2914392019603
50.0,-23.291398440464565,-23.29138604859139,-23.291437023753474,-23.291436700921476
50.0,-23.291399697910414,-23.291388409480255,-23.291434804920286,-23.29143443088204
50.0,-23.291400840083586,-23.29139055708842,-23.291432784020373,-23.291432370562116
50.0,-23.291401877578114,-23.291392510692912,-23.291430943428526,-23.291430500634117
50.0,-23.29140282000951,-23.291394287824936,-23.29142926708352,-23.29142880354498
50.0,-23.29140367610608,-23.29139590442882,-23.291427740350322,-23.291427263354326
50.0,-23.291404453791536,-23.291397375006312,-23.29142634989433,-23.291425865587204
50.0,-23.29140516025979,-23.291398712747633,-23.291425083566445,-23.29142459710011
50.0,-23.291405802042615,-23.29139992965049,-23.291423930298222,-23.291423445959133
50.0,-23.291406385071042,-23.29140103662817,-23.29142288000619,-23.29142240132914
50.0,-23.291406914730874,-23.291402043607842,-23.29142192350456,-23.291421453373008
50.0,-23.291407395913097,-23.29140295961983,-23.291421052425566,-23.291420593160062
50.0,-23.29140783305954,-23.291403792878764,-23.29142025914689,-23.291419812582827
50.0,-23.291408230204272,-23.29140455085739,-23.291419536725392,-23.29141910428141
50.0,-23.291408591011187,-23.29140524035363,-23.29141887883681,-23.291418461574754
50.0,-23.29140891880806,-23.29140586755161,-23.291418279720684,-23.291417878398217
50.0,-23.29140921661752,-23.2914064380771,-23.29141773413019,-23.291417349246807
50.0,-23.291409487185042,-23.291406957047954,-23.291417237286435,-23.29141686912371
50.0,-23.291409733004464,-23.291407429119985,-23.291416784836837,-23.291416433493456
50.0,-23.291409956341056,-23.291407858528718,-23.291416372817093,-23.291416038239426
50.0,-23.29141015925255,-23.291408249127315,-23.29141599761662,-23.29141567962525
50.0,-23.291410343608163,-23.291408604421076,-23.29141565594703,-23.29141535425975
50.0,-23.291410511105898,-23.291408927598873,-23.29141534481341,-23.29141505906512
50.0,-23.291410663288257,-23.291409221561697,-23.29141506148815,-23.291414791248002
50.0,-23.291410801556477,-23.291409488948645,-23.291414803487143,-23.291414548273263
50.0,-23.291410927183517,-23.29140973216055,-23.291414568548035,-23.291414327840155
50.0,-23.291411041325773,-23.291409953381486,-23.29141435461046,-23.291414127860673
50.0,-23.29141114503381,-23.291410154598346,-23.291414159798013,-23.29141394643993
50.0,-23.29141123926201,-23.29141033761863,-23.291413982401842,-23.291413781858324
50.0,-23.29141132487742,-23.291410504086613,-23.291413820865703,-23.291413632555347
50.0,-23.291411402667723,-23.291410655498098,-23.291413673772333,-23.29141349711488
50.0,-23.29141147334853,-23.291410793213814,-23.29141353983105,-23.291413374251864
50.0,-23.29141153756997,-23.2914109184716,-23.29141341786645,-23.291413262800166
50.0,-23.29141159592269,-23.29141103239749,-23.291413306808124,-23.29141316170164
50.0,-23.291411648943292,-23.291411136015835,-23.291413205681287,-23.29141306999608
50.0,-23.29141169711929,-23.29141123025845,-23.291413113598228,-23.29141298681222
50.0,-23.2914117408936,-23.291411315972976,-23.291413029750547,-23.29141291135948
50.0,-23.291411780668614,-23.291411393930478,-23.291412953402073,-23.291412842920504
50.0,-23.291411816809923,-23.291411464832358,-23.29141288388239,-23.291412780844396
50.0,-23.29141184964969,-23.29141152931666,-23.291412820581012,-23.29141272454058
50.0,-23.29141187948969,-23.291411587963765,-23.29141276294199,-23.291412673473214
50.0,-23.291411906604093,-23.2914116413016,-23.291412710459063,-23.291412627156102
50.0,-23.291411931242013,-23.2914116898104,-23.291412662671213,-23.291412585148134
50.0,-23.29141195362976,-23.291411733926978,-23.291412619158624,-23.291412547049088
50.0,-23.29141197397297,-23.291411774048694,-23.29141257953899,-23.29141251249586
50.0,-23.291411992458478,-23.291411810536975,-23.291412543464176,-23.29141248115902
50.0,-23.29141200925602,-23.291411843720567,-23.29141251061718,-23.29141245273971
50.0,-23.29141202451984,-23.291411873898504,-23.291412480709333,-23.291412426966758
50.0,-23.291412038390046,-23.291411901342787,-23.291412453477754,-23.291412403594187
50.0,-23.291412050993966,-23.291411926300828,-23.291412428683085,-23.291412382398832
50.0,-23.29141206244728,-23.291411948997656,-23.291412406107348,-23.291412363178246
50.0,-23.291412072855085,-23.291411969637945,-23.291412385552054,-23.291412345748785
50.0,-23.291412082312892,-23.291411988407862,-23.291412366836468,-23.291412329943835
50.0,-23.291412090907464,-23.29141200547674,-23.291412349796026,-23.291412315612263
50.0,-23.291412098717643,-23.291412020998607,-23.29141233428085,-23.291412302616976
50.0,-23.29141210581507,-23.291412035113538,-23.29141232015449,-23.291412290833605
50.0,-23.29141211226483,-23.291412047948953,-23.291412307292685,-23.291412280149352
50.0,-23.291412118126065,-23.291412059620722,-23.291412295582294,-23.29141227046189
50.0,-23.29141212345252,-23.291412070234237,-23.291412284920288,-23.291412261678396
50.0,-23.291412128293015,-23.29141207988537,-23.291412275212853,-23.291412253714686
50.0,-23.291412132691924,-23.291412088661296,-23.291412266374564,-23.2914122464944
