0,1,2,3,4
6.2,3.85,4.02,8.26,6.52
50.0,3.85,4.02,8.26,6.52
50.0,6.610649999999999,6.13665,5.621983333333333,5.1366499999999995
50.0,5.874281111111109,-1.9618633333333373,-7.3941522222222265,5.65497
50.0,1.5280711851851811,-15.403870888888898,-27.28224437037037,1.8112093333333306
50.0,-7.411632558024696,-35.54421641481483,-55.30128048395062,-6.443764311111118
50.0,-21.645835556707826,-64.36766096469138,-94.37088828880658,-19.851183178518525
50.0,-42.60013083658711,-104.82398428259675,-148.50934129841838,-39.740153718864214
50.0,-72.43419140235382,-161.0959573828964,-223.32217554400776,-68.16083042922926
50.0,-114.25821090791116,-239.0278854706773,-326.573521921612,-108.07721152067522
50.0,-172.44447677061981,-346.7257567237705,-468.9894601197755,-163.66484623968284
50.0,-253.07498024558683,-495.39606407743935,-665.3713653164948,-240.7376059794318
50.0,-364.5694474483458,-700.508296767644,-936.1334455241116,-347.34763310239526
50.0,-518.5580458790654,-983.4016662353326,-1309.4243880337765,-494.619680489287
50.0,-731.0889284263407,-1373.5027021999485,-1824.0534175904345,-697.9060126224612
50.0,-1024.2957658880855,-1911.3840637319965,-2533.524897533148,-978.3815295320238
50.0,-1428.6983956124172,-2652.9824376797537,-3511.6008706012135,-1365.244699849791
50.0,-1986.3756238805722,-3675.4139598818556,-4859.9698239783975,-1898.7529646289986
50.0,-2755.339953009329,-5084.9917184246015,-6718.818957249987,-2634.4080920553097
50.0,-3815.5690018206715,-7028.278865523391,-9281.409113383655,-3648.726559317218
50.0,-5277.32065423693,-9707.326484171108,-12814.167687812247,-5047.194854363649
50.0,-7292.596420019421,-13400.68044479409,-17684.388527703537,-6975.236767511744
50.0,-10070.944814260283,-18492.341282854075,-24398.418719405356,-9633.332903258035
50.0,-13901.247791147647,-25511.6879913143,-33654.30246420174,-13297.864346876035
50.0,-19181.755317342187,-35188.516520139056,-46414.35531774246,-18349.84755317135
50.0,-26461.490715072887,-48528.91522189155,-64005.214188715916,-25314.54796169423
50.0,-36497.33160247674,-66919.86585848048,-88255.76509180041,-34916.09088347572
50.0,-50332.70101976139,-92273.44532309215,-121687.28872359992,-48152.74744131449
50.0,-69406.05009762285,-127225.62043786285,-167775.59291174647,-66400.7228897222
50.0,-95700.4109910355,-175410.30411959553,-231312.3853168776,-91557.23797571874
50.0,-131949.56879407386,-241837.16597798315,-318903.4575753815,-126237.77921979107
50.0,-181922.28771235523,-333412.47754911485,-439655.476079277,-174048.02582940037
50.0,-250814.14191286184,-459657.1433884567,-606122.7836397311,-239958.7249357586
50.0,-345787.6889113324,-633696.5702620057,-835612.649085743,-330822.49017332273
50.0,-476717.14623064594,-873625.2891308853,-1151984.6689554476,-456086.25410400133
50.0,-657214.993854562,-1204388.2069136666,-1588131.4014298313,-628773.4467220788
50.0,-906047.2362551765,-1660374.077962434,-2189398.138995313,-866838.0151502368
50.0,-1249084.4659212308,-2288990.833229907,-3018297.3666733885,-1195031.0592126471
50.0,-1721991.5765113735,-3155594.486860666,-4161008.058492019,-1647474.153205717
50.0,-2373935.769662078,-4350284.0686431015,-5736335.530890889,-2271206.8969198805
50.0,-3272698.3694090154,-5997269.037688492,-7908063.390874075,-3131077.5276080957
50.0,-4511721.909215294,-8267783.088367133,-10901981.785945095,-4316485.059923416
50.0,-6219825.162973716,-11397886.970752433,-15029362.348485405,-5950673.920461352
50.0,-8574596.172082186,-15713011.24876135,-20719320.47700322,-8203547.421237568
50.0,-11820855.714494636,-21661790.656852458,-28563429.59509583,-11309332.262989443
50.0,-16296110.825233664,-29862707.74482808,-39377225.84227932,-15590930.610936748
50.0,-22465644.719345663,-41168395.25603059,-54284997.71483545,-21493491.5790019
50.0,-30970891.345525984,-56754282.62697224,-74836676.0639232,-29630692.481717274
50.0,-42696123.974789254,-78240803.00544327,-103168977.26733938,-40848541.62185414
50.0,-58860391.301695,-107861866.40328385,-142227553.3041582,-56313336.06039347
50.0,-81144259.46838897,-148697114.79633144,-196073245.225624,-77632919.160055
50.0,-111864537.12302932,-204992106.26393455,-270304280.5754577,-107023844.80362175
50.0,-154215149.32307822,-282599717.06459916,-372638309.7703564,-147541828.01230714
50.0,-212599203.4553801,-389588653.3276698,-513714794.58445734,-203399441.44826066
50.0,-293086771.3942554,-537082338.0893043,-708201171.4435444,-280404088.0631966
50.0,-404045982.58151174,-740415391.0590069,-976317795.086554,-386561785.022465
50.0,-557013041.4978461,-1020727937.9760033,-1345940207.898636,-532909533.09640217
50.0,-767891623.4802302,-1407163506.6705375,-1855497303.6009274,-734662811.2789085
50.0,-1058606347.6394588,-1939899020.6325223,-2557966701.506664,-1012797499.3249075
50.0,-1459382235.10858,-2674321912.3827004,-3526382722.313829,-1396230697.489281
50.0,-2011887143.2800643,-3686788642.6642604,-4861429618.523044,-1924827178.8790627
50.0,-2773563888.555459,-5082563327.033415,-6701909512.269866,-2653544049.181448
50.0,-3823602459.636646,-7006761832.778711,-9239173370.868826,-3658144525.6460004
50.0,-5271173240.279987,-9659439181.762373,-12737015379.371704,-5043074885.350613
50.0,-7266777233.009647,-13316388865.902931,-17559099087.765938,-6952323533.110461
50.0,-10017893343.563705,-18357816538.008247,-24206766773.795464,-9584391184.329283
50.0,-13810549542.548931,-25307869223.526436,-33371162984.287033,-13212928582.387209
